Day of outbreak,MCMC,Traced,Nishiura
170,0.6268855969083427,0.6429093299025225,0.39227058864947223
171,0.664002072999773,0.6792996047840416,0.42377103628814666
172,0.6994075826689907,0.7129872784052287,0.4558975961565541
173,0.7331529234541573,0.7440304561659018,0.4884520403493855
174,0.7607191105956134,0.7723230959299857,0.5210869133759342
175,0.7878822448253434,0.7981865490072343,0.5536944780463573
176,0.8126760010376379,0.8214176284624006,0.5858068810667009
177,0.8344353152018805,0.8423321240830083,0.6172907254656624
178,0.8535134990344302,0.8610864246501867,0.6479176373651815
179,0.8710241310330066,0.8778436098488323,0.6774818221643466
180,0.8872418140713434,0.8927681035576109,0.7058048416866264
181,0.9003875849531653,0.906021610649225,0.7327390656096749
182,0.9130946693803503,0.9177735514110886,0.7582391973925953
183,0.9241344294643911,0.9286092392472849,0.7821482699794194
184,0.9336859368329312,0.9376884751065355,0.8043437903576868
185,0.9423349378268352,0.9456914840195539,0.8249641673192396
186,0.9495979822240439,0.9527068292196679,0.8438577797962671
187,0.9561936973820855,0.958858466292968,0.8611438381342837
188,0.9621903796281892,0.9643509211573504,0.8770362038568952
189,0.9670094142249641,0.969044992276308,0.891261199587766
190,0.9713743259752063,0.9731438158606976,0.9040840465747255
191,0.975247449992107,0.9767185473927303,0.9155936345070701
192,0.9786217402207856,0.9799265484278874,0.9259686608252894
193,0.9814338076477671,0.9826232773311792,0.9351236142116677
194,0.9839440899920162,0.984967904846527,0.9432519266317823
195,0.9861002485841195,0.9870189557322354,0.9505338586397462
196,0.9880918010167088,0.988798910230141,0.9569601989765482
197,0.989823736772521,0.9903568197018751,0.9627053538248548
198,0.9912654267109479,0.9916775878437252,0.9675722990435062
199,0.9924312924630642,0.9928212893800994,0.9718388222489188
200,0.9934755704266182,0.9938109827046572,0.9755717445515424
201,0.9943710591452452,0.9946668478280881,0.9788320268029279
202,0.9952367484149565,0.9955826727589728,0.9817649347746339
203,0.9959056634566482,0.9961961924043473,0.9842274051353066
204,0.9964645930873114,0.9967259476344488,0.9863686803137856
205,0.9969564658643386,0.9971831249168454,0.9882283529694419
206,0.9973853683189295,0.9975774608841144,0.989841624279346
207,0.9977523389400547,0.9979174222403355,0.9912396815662179
208,0.9980642593879586,0.9982103648548738,0.9924500701617108
209,0.9984174214823062,0.9986393657719228,0.9935881530091472
210,0.9987301285981582,0.9988456726154699,0.9945711443555854
211,0.9989833417439121,0.9992665238351667,0.9954195510097541
212,0.9991259830464746,0.9993695364960588,0.9960599588606126
213,0.9992434814057335,0.9994582839030577,0.9966124354791721
214,0.9993584644869661,0.9995347076016664,0.9970887536625811
215,0.9994486658762398,0.9996004906025341,0.9974991687062369
216,0.9995807023806891,0.9996716963211568,0.9979441029285019
217,0.9996396226517777,0.9997182660262222,0.9982351104593186
218,0.9996922353236667,0.9997583091506753,0.9984854977678703
219,0.9997784084307182,0.9998073345746825,0.998792410966174
220,0.9998088547237142,0.9998347960755923,0.9989643000557296
221,0.9998364577645825,0.9998583868335562,0.9991120231496639
222,0.9998889542712418,0.9998932538965569,0.9993305528774195
223,0.9999045859124335,0.9999085337298418,0.99942629533076
224,0.9999184297567149,0.9999216490051471,0.9995084970131909
225,0.9999299939389801,0.9999329025822462,0.9995790466250206
226,0.99994005404791,0.9999425555770785,0.9996395741004604
227,0.9999800527729674,0.9999800527729676,0.999874832799455
228,0.99998292630786,0.9999829263078603,0.9998928569610781
